mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,Car model
15,8,383,170,3563,10,70,1,dodge 
15,8,400,150,3761,9.5,70,1,chevrolet 
14,8,455,225,3086,10,70,1,buick 
21,6,200,85,2587,16,70,1,ford 
27,4,97,88,2130,14.5,70,3,datsun 
26,4,121,113,2234,12.5,70,2,bmw 
21,6,199,90,2648,15,70,1,amc 
27,4,97,88,2130,14.5,71,3,datsun 
28,4,140,90,2264,15.5,71,1,chevrolet 
17,6,250,100,3329,15.5,71,1,chevrolet 
23,4,122,86,2220,14,71,1,mercury 
18,4,121,112,2933,14.5,72,2,volvo 
22,4,121,76,2511,18,72,2,volkswagen 
22,4,122,86,2395,16,72,1,ford 
28,4,98,80,2164,15,72,1,dodge 
27,4,97,88,2100,16.5,72,3,toyota 
13,8,350,175,4100,13,73,1,buick 
13,8,400,150,4464,12,73,1,chevrolet 
13,8,351,158,4363,13,73,1,ford 
13,8,440,215,4735,11,73,1,chrysler 
12,8,455,225,4951,11,73,1,buick 
23,6,198,95,2904,16,73,1,plymouth 
16,8,400,230,4278,9.5,73,1,pontiac 
20,4,114,91,2582,14,73,2,audi 
15,8,350,145,4440,14,75,1,chevrolet 
21,6,231,110,3039,15,75,1,buick 
29,4,97,75,2171,16,75,3,toyota 
29,4,90,70,1937,14,75,2,volkswagen 
28,4,107,86,2464,15.5,76,2,fiat 
18.5,6,250,110,3645,16.2,76,1,pontiac 
17.5,6,258,95,3193,17.8,76,1,amc 
29.5,4,97,71,1825,12.2,76,2,volkswagen 
16.5,8,350,180,4380,12.1,76,1,cadillac 
30,4,111,80,2155,14.8,77,1,buick 
36,4,79,58,1825,18.6,77,2,renault 
15.5,8,318,145,4140,13.7,77,1,dodge 
19.4,8,318,140,3735,13.2,78,1,dodge 
19.2,6,231,105,3535,19.2,78,1,pontiac 
18.1,6,258,120,3410,15.1,78,1,amc 
27.5,4,134,95,2560,14.2,78,3,toyota 
23.2,4,156,105,2745,16.7,78,1,plymouth 
23.8,4,151,85,2855,17.6,78,1,oldsmobile 
17,8,305,130,3840,15.4,79,1,chevrolet 
34.2,4,105,70,2200,13.2,79,1,plymouth 
34.5,4,105,70,2150,14.9,79,1,plymouth 
46.6,4,86,65,2110,17.9,80,3,mazda 
32.7,6,168,132,2910,11.4,80,3,datsun 
34.1,4,91,68,1985,16,81,3,mazda 
32.9,4,119,100,2615,14.8,81,3,datsun 
17.6,6,225,85,3465,16.6,81,1,chrysler 
36,4,98,70,2125,17.3,82,1,mercury 
32,4,91,67,1965,15.7,82,3,honda 
26,4,156,92,2585,14.5,82,1,chrysler 
44,4,97,52,2130,24.6,82,2,vw 
